PRODUCTID,PRODUCT,TYPE,UNITPRICE,UNIT,QTY,TOTALSALES,CURRENCY,STORE,COUNTRY,YEAR
34,garlic,vegetables,35.339999999999996,kg,1693,1173540.09,CZK,Store C,Czech Republic,2019
35,peas,vegetables,70.67999999999999,kg,3517,1422121.65,CZK,Store C,Czech Republic,2019
36,eggplant,vegetables,35.339999999999996,kg,1987,1492342.23,CZK,Store C,Czech Republic,2019
1,banana,fruits,11.78,kg,1580,18612.4,CZK,Store D,Czech Republic,2019
2,apple,fruits,16.491999999999997,kg,2519,60155.75,CZK,Store D,Czech Republic,2019
3,pear,fruits,14.136,kg,2558,96315.64,CZK,Store D,Czech Republic,2019
4,grapes,fruits,28.272,kg,3428,193232.05,CZK,Store D,Czech Republic,2019
5,orange,fruits,18.848,kg,2093,232680.92,CZK,Store D,Czech Republic,2019
6,kiwi,fruits,21.204,piece,1286,259949.26,CZK,Store D,Czech Republic,2019
7,watermelon,fruits,117.8,kg,650,336519.26,CZK,Store D,Czech Republic,2019
8,pomegranate,fruits,58.9,kg,2420,479057.26,CZK,Store D,Czech Republic,2019
9,pineapple,fruits,35.339999999999996,piece,1357,527013.64,CZK,Store D,Czech Republic,2019
10,mango,fruits,47.12,piece,2170,629264.04,CZK,Store D,Czech Republic,2019
11,cucumber,vegetables,9.424,piece,2497,652795.77,CZK,Store D,Czech Republic,2019
12,carrot,vegetables,7.068,kg,3779,679505.74,CZK,Store D,Czech Republic,2019
13,capsicum,vegetables,11.78,kg,4734,735272.26,CZK,Store D,Czech Republic,2019
14,onion,vegetables,4.712,kg,1921,744324.01,CZK,Store D,Czech Republic,2019
15,potato,vegetables,7.068,kg,1124,752268.44,CZK,Store D,Czech Republic,2019
16,lemon,vegetables,9.424,kg,686,758733.31,CZK,Store D,Czech Republic,2019
17,tomato,vegetables,14.136,kg,2996,801084.76,CZK,Store D,Czech Republic,2019
18,raddish,vegetables,7.068,kg,1747,813432.56,CZK,Store D,Czech Republic,2019
19,beetroot,vegetables,9.424,kg,2425,836285.76,CZK,Store D,Czech Republic,2019
20,cabbage,vegetables,11.78,piece,2435,864970.06,CZK,Store D,Czech Republic,2019
21,lettuce,vegetables,14.136,piece,238,868334.43,CZK,Store D,Czech Republic,2019
22,spinach,vegetables,16.491999999999997,kg,1755,897277.89,CZK,Store D,Czech Republic,2019
23,soy bean,vegetables,18.848,kg,5390,998868.61,CZK,Store D,Czech Republic,2019
24,cauliflower,vegetables,14.136,piece,644,1007972.19,CZK,Store D,Czech Republic,2019
25,bell pepper,vegetables,16.491999999999997,kg,782,1020868.94,CZK,Store D,Czech Republic,2019
26,chilli pepper,vegetables,11.78,kg,905,1031529.84,CZK,Store D,Czech Republic,2019
27,turnip,vegetables,9.424,kg,393,1035233.47,CZK,Store D,Czech Republic,2019
28,corn,vegetables,7.068,kg,981,1042167.18,CZK,Store D,Czech Republic,2019
29,sweetcorn,vegetables,9.424,kg,1413,1055483.29,CZK,Store D,Czech Republic,2019
30,sweet potato,vegetables,11.78,kg,2919,1089869.11,CZK,Store D,Czech Republic,2019
31,paprika,vegetables,47.12,kg,3865,1271987.91,CZK,Store D,Czech Republic,2019
32,jalepeno,vegetables,47.12,kg,1807,1357133.75,CZK,Store D,Czech Republic,2019
33,ginger,vegetables,35.339999999999996,kg,636,1379609.99,CZK,Store D,Czech Republic,2019
34,garlic,vegetables,35.339999999999996,kg,1255,1423961.69,CZK,Store D,Czech Republic,2019
35,peas,vegetables,70.67999999999999,kg,2619,1609072.61,CZK,Store D,Czech Republic,2019
36,eggplant,vegetables,35.339999999999996,kg,1419,1659220.07,CZK,Store D,Czech Republic,2019
1,banana,fruits,11.78,kg,3055,35987.9,CZK,Store E,Czech Republic,2019
2,apple,fruits,16.491999999999997,kg,1423,59456.02,CZK,Store E,Czech Republic,2019
3,pear,fruits,14.136,kg,1420,79529.14,CZK,Store E,Czech Republic,2019
4,grapes,fruits,28.272,kg,2130,139748.5,CZK,Store E,Czech Republic,2019
5,orange,fruits,18.848,kg,3862,212539.47,CZK,Store E,Czech Republic,2019
6,kiwi,fruits,21.204,piece,4815,314636.73,CZK,Store E,Czech Republic,2019
7,watermelon,fruits,117.8,kg,1766,522671.53,CZK,Store E,Czech Republic,2019
8,pomegranate,fruits,58.9,kg,2441,666446.43,CZK,Store E,Czech Republic,2019
9,pineapple,fruits,35.339999999999996,piece,5436,858554.67,CZK,Store E,Czech Republic,2019
10,mango,fruits,47.12,piece,775,895072.67,CZK,Store E,Czech Republic,2019
11,cucumber,vegetables,9.424,piece,343,898305.1,CZK,Store E,Czech Republic,2019
12,carrot,vegetables,7.068,kg,258,900128.65,CZK,Store E,Czech Republic,2019
13,capsicum,vegetables,11.78,kg,2796,933065.53,CZK,Store E,Czech Republic,2019
14,onion,vegetables,4.712,kg,4375,953680.53,CZK,Store E,Czech Republic,2019
15,potato,vegetables,7.068,kg,1703,965717.33,CZK,Store E,Czech Republic,2019
16,lemon,vegetables,9.424,kg,5666,1019113.72,CZK,Store E,Czech Republic,2019
17,tomato,vegetables,14.136,kg,5294,1093949.7,CZK,Store E,Czech Republic,2019
18,raddish,vegetables,7.068,kg,314,1096169.05,CZK,Store E,Czech Republic,2019
19,beetroot,vegetables,9.424,kg,294,1098939.71,CZK,Store E,Czech Republic,2019
20,cabbage,vegetables,11.78,piece,3810,1143821.51,CZK,Store E,Czech Republic,2019
21,lettuce,vegetables,14.136,piece,1260,1161632.87,CZK,Store E,Czech Republic,2019
22,spinach,vegetables,16.491999999999997,kg,2616,1204775.94,CZK,Store E,Czech Republic,2019
23,soy bean,vegetables,18.848,kg,2434,1250651.97,CZK,Store E,Czech Republic,2019
24,cauliflower,vegetables,14.136,piece,950,1264081.17,CZK,Store E,Czech Republic,2019
25,bell pepper,vegetables,16.491999999999997,kg,4339,1335639.96,CZK,Store E,Czech Republic,2019
26,chilli pepper,vegetables,11.78,kg,486,1341365.04,CZK,Store E,Czech Republic,2019
27,turnip,vegetables,9.424,kg,820,1349092.72,CZK,Store E,Czech Republic,2019
28,corn,vegetables,7.068,kg,107,1349849.0,CZK,Store E,Czech Republic,2019
29,sweetcorn,vegetables,9.424,kg,2390,1372372.36,CZK,Store E,Czech Republic,2019
30,sweet potato,vegetables,11.78,kg,1819,1393800.18,CZK,Store E,Czech Republic,2019
31,paprika,vegetables,47.12,kg,1319,1455951.46,CZK,Store E,Czech Republic,2019
32,jalepeno,vegetables,47.12,kg,1975,1549013.46,CZK,Store E,Czech Republic,2019
33,ginger,vegetables,35.339999999999996,kg,447,1564810.44,CZK,Store E,Czech Republic,2019
34,garlic,vegetables,35.339999999999996,kg,5733,1767414.66,CZK,Store E,Czech Republic,2019
35,peas,vegetables,70.67999999999999,kg,3050,1982988.66,CZK,Store E,Czech Republic,2019
36,eggplant,vegetables,35.339999999999996,kg,516,2001224.1,CZK,Store E,Czech Republic,2019
1,banana,fruits,11.78,kg,790,9306.2,CZK,Store A,Czech Republic,2020
2,apple,fruits,16.491999999999997,kg,855,23406.86,CZK,Store A,Czech Republic,2020
3,pear,fruits,14.136,kg,5964,107713.96,CZK,Store A,Czech Republic,2020
4,grapes,fruits,28.272,kg,210,113651.08,CZK,Store A,Czech Republic,2020
5,orange,fruits,18.848,kg,3169,173380.4,CZK,Store A,Czech Republic,2020
6,kiwi,fruits,21.204,piece,938,193269.75,CZK,Store A,Czech Republic,2020
7,watermelon,fruits,117.8,kg,352,234735.35,CZK,Store A,Czech Republic,2020
8,pomegranate,fruits,58.9,kg,5659,568050.45,CZK,Store A,Czech Republic,2020
9,pineapple,fruits,35.339999999999996,piece,4227,717432.63,CZK,Store A,Czech Republic,2020
10,mango,fruits,47.12,piece,3331,874389.35,CZK,Store A,Czech Republic,2020
11,cucumber,vegetables,9.424,piece,1038,884171.46,CZK,Store A,Czech Republic,2020
12,carrot,vegetables,7.068,kg,1938,897869.24,CZK,Store A,Czech Republic,2020
13,capsicum,vegetables,11.78,kg,420,902816.84,CZK,Store A,Czech Republic,2020
14,onion,vegetables,4.712,kg,504,905191.69,CZK,Store A,Czech Republic,2020
15,potato,vegetables,7.068,kg,5337,942913.61,CZK,Store A,Czech Republic,2020
16,lemon,vegetables,9.424,kg,3649,977301.78,CZK,Store A,Czech Republic,2020
17,tomato,vegetables,14.136,kg,1737,1001856.02,CZK,Store A,Czech Republic,2020
18,raddish,vegetables,7.068,kg,947,1008549.41,CZK,Store A,Czech Republic,2020
19,beetroot,vegetables,9.424,kg,1644,1024042.47,CZK,Store A,Czech Republic,2020
20,cabbage,vegetables,11.78,piece,394,1028683.79,CZK,Store A,Czech Republic,2020
21,lettuce,vegetables,14.136,piece,420,1034620.91,CZK,Store A,Czech Republic,2020
22,spinach,vegetables,16.491999999999997,kg,1417,1057990.07,CZK,Store A,Czech Republic,2020
23,soy bean,vegetables,18.848,kg,3619,1126200.98,CZK,Store A,Czech Republic,2020
24,cauliflower,vegetables,14.136,piece,1521,1147701.84,CZK,Store A,Czech Republic,2020
25,bell pepper,vegetables,16.491999999999997,kg,1447,1171565.76,CZK,Store A,Czech Republic,2020
26,chilli pepper,vegetables,11.78,kg,730,1180165.16,CZK,Store A,Czech Republic,2020
27,turnip,vegetables,9.424,kg,2232,1201199.53,CZK,Store A,Czech Republic,2020
28,corn,vegetables,7.068,kg,1694,1213172.72,CZK,Store A,Czech Republic,2020
29,sweetcorn,vegetables,9.424,kg,2581,1237496.07,CZK,Store A,Czech Republic,2020
30,sweet potato,vegetables,11.78,kg,2190,1263294.27,CZK,Store A,Czech Republic,2020
31,paprika,vegetables,47.12,kg,400,1282142.27,CZK,Store A,Czech Republic,2020
32,jalepeno,vegetables,47.12,kg,2083,1380293.23,CZK,Store A,Czech Republic,2020
33,ginger,vegetables,35.339999999999996,kg,75,1382943.73,CZK,Store A,Czech Republic,2020
34,garlic,vegetables,35.339999999999996,kg,536,1401885.97,CZK,Store A,Czech Republic,2020
35,peas,vegetables,70.67999999999999,kg,5596,1797411.25,CZK,Store A,Czech Republic,2020
36,eggplant,vegetables,35.339999999999996,kg,1176,1838971.09,CZK,Store A,Czech Republic,2020
1,banana,fruits,11.78,kg,738,8693.64,CZK,Store B,Czech Republic,2020
2,apple,fruits,16.491999999999997,kg,1641,35757.01,CZK,Store B,Czech Republic,2020
3,pear,fruits,14.136,kg,3908,91000.5,CZK,Store B,Czech Republic,2020
4,grapes,fruits,28.272,kg,1446,131881.81,CZK,Store B,Czech Republic,2020
5,orange,fruits,18.848,kg,870,148279.57,CZK,Store B,Czech Republic,2020
6,kiwi,fruits,21.204,piece,1498,180043.16,CZK,Store B,Czech Republic,2020
7,watermelon,fruits,117.8,kg,406,227869.96,CZK,Store B,Czech Republic,2020
8,pomegranate,fruits,58.9,kg,2725,388372.46,CZK,Store B,Czech Republic,2020
9,pineapple,fruits,35.339999999999996,piece,635,410813.36,CZK,Store B,Czech Republic,2020
10,mango,fruits,47.12,piece,3633,582000.32,CZK,Store B,Czech Republic,2020
11,cucumber,vegetables,9.424,piece,3265,612769.68,CZK,Store B,Czech Republic,2020
12,carrot,vegetables,7.068,kg,825,618600.78,CZK,Store B,Czech Republic,2020
13,capsicum,vegetables,11.78,kg,3697,662151.44,CZK,Store B,Czech Republic,2020
14,onion,vegetables,4.712,kg,2678,674770.18,CZK,Store B,Czech Republic,2020
15,potato,vegetables,7.068,kg,551,678664.65,CZK,Store B,Czech Republic,2020
16,lemon,vegetables,9.424,kg,2802,705070.7,CZK,Store B,Czech Republic,2020
17,tomato,vegetables,14.136,kg,1795,730444.82,CZK,Store B,Czech Republic,2020
18,raddish,vegetables,7.068,kg,3577,755727.05,CZK,Store B,Czech Republic,2020
19,beetroot,vegetables,9.424,kg,1996,774537.36,CZK,Store B,Czech Republic,2020
20,cabbage,vegetables,11.78,piece,181,776669.54,CZK,Store B,Czech Republic,2020
21,lettuce,vegetables,14.136,piece,3579,827262.28,CZK,Store B,Czech Republic,2020
22,spinach,vegetables,16.491999999999997,kg,1975,859833.98,CZK,Store B,Czech Republic,2020
23,soy bean,vegetables,18.848,kg,1061,879831.71,CZK,Store B,Czech Republic,2020
24,cauliflower,vegetables,14.136,piece,1789,905121.01,CZK,Store B,Czech Republic,2020
25,bell pepper,vegetables,16.491999999999997,kg,1812,935004.52,CZK,Store B,Czech Republic,2020
26,chilli pepper,vegetables,11.78,kg,670,942897.12,CZK,Store B,Czech Republic,2020
27,turnip,vegetables,9.424,kg,1722,959125.24,CZK,Store B,Czech Republic,2020
28,corn,vegetables,7.068,kg,838,965048.23,CZK,Store B,Czech Republic,2020
29,sweetcorn,vegetables,9.424,kg,1254,976865.92,CZK,Store B,Czech Republic,2020
30,sweet potato,vegetables,11.78,kg,2040,1000897.12,CZK,Store B,Czech Republic,2020
31,paprika,vegetables,47.12,kg,2731,1129581.84,CZK,Store B,Czech Republic,2020
32,jalepeno,vegetables,47.12,kg,3058,1273674.8,CZK,Store B,Czech Republic,2020
33,ginger,vegetables,35.339999999999996,kg,3598,1400828.12,CZK,Store B,Czech Republic,2020
34,garlic,vegetables,35.339999999999996,kg,5514,1595692.88,CZK,Store B,Czech Republic,2020
35,peas,vegetables,70.67999999999999,kg,1010,1667079.68,CZK,Store B,Czech Republic,2020
36,eggplant,vegetables,35.339999999999996,kg,1861,1732847.42,CZK,Store B,Czech Republic,2020
1,banana,fruits,11.78,kg,1185,13959.3,CZK,Store C,Czech Republic,2020
2,apple,fruits,16.491999999999997,kg,2949,62594.21,CZK,Store C,Czech Republic,2020
3,pear,fruits,14.136,kg,3772,115915.2,CZK,Store C,Czech Republic,2020
4,grapes,fruits,28.272,kg,2110,175569.12,CZK,Store C,Czech Republic,2020
5,orange,fruits,18.848,kg,3764,246512.99,CZK,Store C,Czech Republic,2020
6,kiwi,fruits,21.204,piece,4109,333640.23,CZK,Store C,Czech Republic,2020
7,watermelon,fruits,117.8,kg,437,385118.83,CZK,Store C,Czech Republic,2020
8,pomegranate,fruits,58.9,kg,1744,487840.43,CZK,Store C,Czech Republic,2020
9,pineapple,fruits,35.339999999999996,piece,723,513391.25,CZK,Store C,Czech Republic,2020
10,mango,fruits,47.12,piece,1230,571348.85,CZK,Store C,Czech Republic,2020
11,cucumber,vegetables,9.424,piece,1574,586182.22,CZK,Store C,Czech Republic,2020
12,carrot,vegetables,7.068,kg,1327,595561.46,CZK,Store C,Czech Republic,2020
13,capsicum,vegetables,11.78,kg,773,604667.4,CZK,Store C,Czech Republic,2020
14,onion,vegetables,4.712,kg,1170,610180.44,CZK,Store C,Czech Republic,2020
15,potato,vegetables,7.068,kg,3614,635724.19,CZK,Store C,Czech Republic,2020
16,lemon,vegetables,9.424,kg,1524,650086.37,CZK,Store C,Czech Republic,2020
17,tomato,vegetables,14.136,kg,1580,672421.25,CZK,Store C,Czech Republic,2020
18,raddish,vegetables,7.068,kg,406,675290.86,CZK,Store C,Czech Republic,2020
19,beetroot,vegetables,9.424,kg,5422,726387.78,CZK,Store C,Czech Republic,2020
20,cabbage,vegetables,11.78,piece,3269,764896.6,CZK,Store C,Czech Republic,2020
21,lettuce,vegetables,14.136,piece,212,767893.44,CZK,Store C,Czech Republic,2020
22,spinach,vegetables,16.491999999999997,kg,2702,812454.82,CZK,Store C,Czech Republic,2020
23,soy bean,vegetables,18.848,kg,1929,848812.61,CZK,Store C,Czech Republic,2020
24,cauliflower,vegetables,14.136,piece,3727,901497.48,CZK,Store C,Czech Republic,2020
25,bell pepper,vegetables,16.491999999999997,kg,3454,958460.85,CZK,Store C,Czech Republic,2020
26,chilli pepper,vegetables,11.78,kg,1443,975459.39,CZK,Store C,Czech Republic,2020
27,turnip,vegetables,9.424,kg,4113,1014220.3,CZK,Store C,Czech Republic,2020
28,corn,vegetables,7.068,kg,1230,1022913.94,CZK,Store C,Czech Republic,2020
29,sweetcorn,vegetables,9.424,kg,96,1023818.65,CZK,Store C,Czech Republic,2020
30,sweet potato,vegetables,11.78,kg,5593,1089704.19,CZK,Store C,Czech Republic,2020
31,paprika,vegetables,47.12,kg,1884,1178478.27,CZK,Store C,Czech Republic,2020
32,jalepeno,vegetables,47.12,kg,1572,1252550.91,CZK,Store C,Czech Republic,2020
33,ginger,vegetables,35.339999999999996,kg,1775,1315279.41,CZK,Store C,Czech Republic,2020
34,garlic,vegetables,35.339999999999996,kg,5840,1521665.01,CZK,Store C,Czech Republic,2020
35,peas,vegetables,70.67999999999999,kg,3055,1737592.41,CZK,Store C,Czech Republic,2020
36,eggplant,vegetables,35.339999999999996,kg,2352,1820712.09,CZK,Store C,Czech Republic,2020
1,banana,fruits,11.78,kg,5587,65814.86,CZK,Store D,Czech Republic,2020
2,apple,fruits,16.491999999999997,kg,3348,121030.08,CZK,Store D,Czech Republic,2020
3,pear,fruits,14.136,kg,1812,146644.51,CZK,Store D,Czech Republic,2020
4,grapes,fruits,28.272,kg,1668,193802.2,CZK,Store D,Czech Republic,2020
5,orange,fruits,18.848,kg,2166,234626.97,CZK,Store D,Czech Republic,2020
6,kiwi,fruits,21.204,piece,4481,329642.1,CZK,Store D,Czech Republic,2020
7,watermelon,fruits,117.8,kg,1491,505281.9,CZK,Store D,Czech Republic,2020
8,pomegranate,fruits,58.9,kg,1508,594103.1,CZK,Store D,Czech Republic,2020
9,pineapple,fruits,35.339999999999996,piece,2326,676303.94,CZK,Store D,Czech Republic,2020
10,mango,fruits,47.12,piece,1354,740104.42,CZK,Store D,Czech Republic,2020
11,cucumber,vegetables,9.424,piece,3642,774426.62,CZK,Store D,Czech Republic,2020
12,carrot,vegetables,7.068,kg,1447,784654.02,CZK,Store D,Czech Republic,2020
13,capsicum,vegetables,11.78,kg,3869,830230.84,CZK,Store D,Czech Republic,2020
14,onion,vegetables,4.712,kg,4188,849964.7,CZK,Store D,Czech Republic,2020
15,potato,vegetables,7.068,kg,4090,878872.82,CZK,Store D,Czech Republic,2020
16,lemon,vegetables,9.424,kg,1429,892339.71,CZK,Store D,Czech Republic,2020
17,tomato,vegetables,14.136,kg,3220,937857.63,CZK,Store D,Czech Republic,2020
18,raddish,vegetables,7.068,kg,1953,951661.44,CZK,Store D,Czech Republic,2020
19,beetroot,vegetables,9.424,kg,1662,967324.12,CZK,Store D,Czech Republic,2020
