PRODUCTID,PRODUCT,TYPE,UNITPRICE,UNIT,QTY,TOTALSALES,CURRENCY,STORE,COUNTRY,YEAR
32,jalepeno,vegetables,2.0,kg,2294,742375.1,EUR,Store A,Germany,2019
33,ginger,vegetables,1.5,kg,23601,777776.6,EUR,Store A,Germany,2019
34,garlic,vegetables,1.5,kg,34841,830038.1,EUR,Store A,Germany,2019
35,peas,vegetables,3.0,kg,23840,901558.1,EUR,Store A,Germany,2019
36,eggplant,vegetables,1.5,kg,3441,906719.6,EUR,Store A,Germany,2019
1,banana,fruits,0.5,kg,75834,37917.0,EUR,Store B,Germany,2019
2,apple,fruits,0.7,kg,16065,49162.5,EUR,Store B,Germany,2019
3,pear,fruits,0.6,kg,34581,69911.1,EUR,Store B,Germany,2019
4,grapes,fruits,1.2,kg,13059,85581.9,EUR,Store B,Germany,2019
5,orange,fruits,0.8,kg,60446,133938.7,EUR,Store B,Germany,2019
6,kiwi,fruits,0.9,piece,12928,145573.9,EUR,Store B,Germany,2019
7,watermelon,fruits,5.0,kg,47052,380833.9,EUR,Store B,Germany,2019
8,pomegranate,fruits,2.5,kg,29710,455108.9,EUR,Store B,Germany,2019
9,pineapple,fruits,1.5,piece,43653,520588.4,EUR,Store B,Germany,2019
10,mango,fruits,2.0,piece,59321,639230.4,EUR,Store B,Germany,2019
11,cucumber,vegetables,0.4,piece,25842,649567.2,EUR,Store B,Germany,2019
12,carrot,vegetables,0.3,kg,3972,650758.8,EUR,Store B,Germany,2019
13,capsicum,vegetables,0.5,kg,25982,663749.8,EUR,Store B,Germany,2019
14,onion,vegetables,0.2,kg,914,663932.6,EUR,Store B,Germany,2019
15,potato,vegetables,0.3,kg,70765,685162.1,EUR,Store B,Germany,2019
16,lemon,vegetables,0.4,kg,2727,686252.9,EUR,Store B,Germany,2019
17,tomato,vegetables,0.6,kg,26534,702173.3,EUR,Store B,Germany,2019
18,raddish,vegetables,0.3,kg,27261,710351.6,EUR,Store B,Germany,2019
19,beetroot,vegetables,0.4,kg,74718,740238.8,EUR,Store B,Germany,2019
20,cabbage,vegetables,0.5,piece,11904,746190.8,EUR,Store B,Germany,2019
21,lettuce,vegetables,0.6,piece,3034,748011.2,EUR,Store B,Germany,2019
22,spinach,vegetables,0.7,kg,38883,775229.3,EUR,Store B,Germany,2019
23,soy bean,vegetables,0.8,kg,10017,783242.9,EUR,Store B,Germany,2019
24,cauliflower,vegetables,0.6,piece,5832,786742.1,EUR,Store B,Germany,2019
25,bell pepper,vegetables,0.7,kg,43227,817001.0,EUR,Store B,Germany,2019
26,chilli pepper,vegetables,0.5,kg,28859,831430.5,EUR,Store B,Germany,2019
27,turnip,vegetables,0.4,kg,30213,843515.7,EUR,Store B,Germany,2019
28,corn,vegetables,0.3,kg,85482,869160.3,EUR,Store B,Germany,2019
29,sweetcorn,vegetables,0.4,kg,2306,870082.7,EUR,Store B,Germany,2019
30,sweet potato,vegetables,0.5,kg,13756,876960.7,EUR,Store B,Germany,2019
31,paprika,vegetables,2.0,kg,25429,927818.7,EUR,Store B,Germany,2019
32,jalepeno,vegetables,2.0,kg,14619,957056.7,EUR,Store B,Germany,2019
33,ginger,vegetables,1.5,kg,85506,1085315.7,EUR,Store B,Germany,2019
34,garlic,vegetables,1.5,kg,23877,1121131.2,EUR,Store B,Germany,2019
35,peas,vegetables,3.0,kg,2901,1129834.2,EUR,Store B,Germany,2019
36,eggplant,vegetables,1.5,kg,7478,1141051.2,EUR,Store B,Germany,2019
1,banana,fruits,0.5,kg,17965,8982.5,EUR,Store C,Germany,2019
2,apple,fruits,0.7,kg,19647,22735.4,EUR,Store C,Germany,2019
3,pear,fruits,0.6,kg,49068,52176.2,EUR,Store C,Germany,2019
4,grapes,fruits,1.2,kg,72903,139659.8,EUR,Store C,Germany,2019
5,orange,fruits,0.8,kg,9290,147091.8,EUR,Store C,Germany,2019
6,kiwi,fruits,0.9,piece,54144,195821.4,EUR,Store C,Germany,2019
7,watermelon,fruits,5.0,kg,24329,317466.4,EUR,Store C,Germany,2019
8,pomegranate,fruits,2.5,kg,57583,461423.9,EUR,Store C,Germany,2019
9,pineapple,fruits,1.5,piece,49817,536149.4,EUR,Store C,Germany,2019
10,mango,fruits,2.0,piece,24819,585787.4,EUR,Store C,Germany,2019
11,cucumber,vegetables,0.4,piece,43024,602997.0,EUR,Store C,Germany,2019
12,carrot,vegetables,0.3,kg,48843,617649.9,EUR,Store C,Germany,2019
13,capsicum,vegetables,0.5,kg,46422,640860.9,EUR,Store C,Germany,2019
14,onion,vegetables,0.2,kg,53958,651652.5,EUR,Store C,Germany,2019
15,potato,vegetables,0.3,kg,3016,652557.3,EUR,Store C,Germany,2019
16,lemon,vegetables,0.4,kg,7235,655451.3,EUR,Store C,Germany,2019
17,tomato,vegetables,0.6,kg,16777,665517.5,EUR,Store C,Germany,2019
18,raddish,vegetables,0.3,kg,16288,670403.9,EUR,Store C,Germany,2019
19,beetroot,vegetables,0.4,kg,39805,686325.9,EUR,Store C,Germany,2019
20,cabbage,vegetables,0.5,piece,29669,701160.4,EUR,Store C,Germany,2019
21,lettuce,vegetables,0.6,piece,40425,725415.4,EUR,Store C,Germany,2019
22,spinach,vegetables,0.7,kg,24050,742250.4,EUR,Store C,Germany,2019
23,soy bean,vegetables,0.8,kg,2196,744007.2,EUR,Store C,Germany,2019
24,cauliflower,vegetables,0.6,piece,15688,753420.0,EUR,Store C,Germany,2019
25,bell pepper,vegetables,0.7,kg,22358,769070.6,EUR,Store C,Germany,2019
26,chilli pepper,vegetables,0.5,kg,1733,769937.1,EUR,Store C,Germany,2019
27,turnip,vegetables,0.4,kg,45651,788197.5,EUR,Store C,Germany,2019
28,corn,vegetables,0.3,kg,10908,791469.9,EUR,Store C,Germany,2019
29,sweetcorn,vegetables,0.4,kg,56576,814100.3,EUR,Store C,Germany,2019
30,sweet potato,vegetables,0.5,kg,50507,839353.8,EUR,Store C,Germany,2019
31,paprika,vegetables,2.0,kg,773,840899.8,EUR,Store C,Germany,2019
32,jalepeno,vegetables,2.0,kg,2713,846325.8,EUR,Store C,Germany,2019
33,ginger,vegetables,1.5,kg,11653,863805.3,EUR,Store C,Germany,2019
34,garlic,vegetables,1.5,kg,45265,931702.8,EUR,Store C,Germany,2019
35,peas,vegetables,3.0,kg,48365,1076797.8,EUR,Store C,Germany,2019
36,eggplant,vegetables,1.5,kg,20333,1107297.3,EUR,Store C,Germany,2019
1,banana,fruits,0.5,kg,21989,10994.5,EUR,Store D,Germany,2019
2,apple,fruits,0.7,kg,66049,57228.8,EUR,Store D,Germany,2019
3,pear,fruits,0.6,kg,65219,96360.2,EUR,Store D,Germany,2019
4,grapes,fruits,1.2,kg,25657,127148.6,EUR,Store D,Germany,2019
5,orange,fruits,0.8,kg,73271,185765.4,EUR,Store D,Germany,2019
6,kiwi,fruits,0.9,piece,18820,202703.4,EUR,Store D,Germany,2019
7,watermelon,fruits,5.0,kg,26350,334453.4,EUR,Store D,Germany,2019
8,pomegranate,fruits,2.5,kg,26722,401258.4,EUR,Store D,Germany,2019
9,pineapple,fruits,1.5,piece,29416,445382.4,EUR,Store D,Germany,2019
10,mango,fruits,2.0,piece,21581,488544.4,EUR,Store D,Germany,2019
11,cucumber,vegetables,0.4,piece,4596,490382.8,EUR,Store D,Germany,2019
12,carrot,vegetables,0.3,kg,3794,491521.0,EUR,Store D,Germany,2019
13,capsicum,vegetables,0.5,kg,14332,498687.0,EUR,Store D,Germany,2019
14,onion,vegetables,0.2,kg,1754,499037.8,EUR,Store D,Germany,2019
15,potato,vegetables,0.3,kg,35538,509699.2,EUR,Store D,Germany,2019
16,lemon,vegetables,0.4,kg,25356,519841.6,EUR,Store D,Germany,2019
17,tomato,vegetables,0.6,kg,17528,530358.4,EUR,Store D,Germany,2019
18,raddish,vegetables,0.3,kg,59575,548230.9,EUR,Store D,Germany,2019
19,beetroot,vegetables,0.4,kg,12038,553046.1,EUR,Store D,Germany,2019
20,cabbage,vegetables,0.5,piece,14714,560403.1,EUR,Store D,Germany,2019
21,lettuce,vegetables,0.6,piece,10033,566422.9,EUR,Store D,Germany,2019
22,spinach,vegetables,0.7,kg,19064,579767.7,EUR,Store D,Germany,2019
23,soy bean,vegetables,0.8,kg,22080,597431.7,EUR,Store D,Germany,2019
24,cauliflower,vegetables,0.6,piece,18925,608786.7,EUR,Store D,Germany,2019
25,bell pepper,vegetables,0.7,kg,42856,638785.9,EUR,Store D,Germany,2019
26,chilli pepper,vegetables,0.5,kg,55149,666360.4,EUR,Store D,Germany,2019
27,turnip,vegetables,0.4,kg,7678,669431.6,EUR,Store D,Germany,2019
28,corn,vegetables,0.3,kg,27642,677724.2,EUR,Store D,Germany,2019
29,sweetcorn,vegetables,0.4,kg,63755,703226.2,EUR,Store D,Germany,2019
30,sweet potato,vegetables,0.5,kg,30077,718264.7,EUR,Store D,Germany,2019
31,paprika,vegetables,2.0,kg,24466,767196.7,EUR,Store D,Germany,2019
32,jalepeno,vegetables,2.0,kg,61,767318.7,EUR,Store D,Germany,2019
33,ginger,vegetables,1.5,kg,12709,786382.2,EUR,Store D,Germany,2019
34,garlic,vegetables,1.5,kg,18362,813925.2,EUR,Store D,Germany,2019
35,peas,vegetables,3.0,kg,17509,866452.2,EUR,Store D,Germany,2019
36,eggplant,vegetables,1.5,kg,23009,900965.7,EUR,Store D,Germany,2019
1,banana,fruits,0.5,kg,21511,10755.5,EUR,Store E,Germany,2019
2,apple,fruits,0.7,kg,71699,60944.8,EUR,Store E,Germany,2019
3,pear,fruits,0.6,kg,58330,95942.8,EUR,Store E,Germany,2019
4,grapes,fruits,1.2,kg,23371,123988.0,EUR,Store E,Germany,2019
5,orange,fruits,0.8,kg,42211,157756.8,EUR,Store E,Germany,2019
6,kiwi,fruits,0.9,piece,59461,211271.7,EUR,Store E,Germany,2019
7,watermelon,fruits,5.0,kg,48911,455826.7,EUR,Store E,Germany,2019
8,pomegranate,fruits,2.5,kg,17912,500606.7,EUR,Store E,Germany,2019
9,pineapple,fruits,1.5,piece,17670,527111.7,EUR,Store E,Germany,2019
10,mango,fruits,2.0,piece,10173,547457.7,EUR,Store E,Germany,2019
11,cucumber,vegetables,0.4,piece,25547,557676.5,EUR,Store E,Germany,2019
12,carrot,vegetables,0.3,kg,12664,561475.7,EUR,Store E,Germany,2019
13,capsicum,vegetables,0.5,kg,49144,586047.7,EUR,Store E,Germany,2019
14,onion,vegetables,0.2,kg,42080,594463.7,EUR,Store E,Germany,2019
15,potato,vegetables,0.3,kg,8660,597061.7,EUR,Store E,Germany,2019
16,lemon,vegetables,0.4,kg,48704,616543.3,EUR,Store E,Germany,2019
17,tomato,vegetables,0.6,kg,46396,644380.9,EUR,Store E,Germany,2019
18,raddish,vegetables,0.3,kg,22434,651111.1,EUR,Store E,Germany,2019
19,beetroot,vegetables,0.4,kg,13623,656560.3,EUR,Store E,Germany,2019
20,cabbage,vegetables,0.5,piece,22445,667782.8,EUR,Store E,Germany,2019
21,lettuce,vegetables,0.6,piece,57850,702492.8,EUR,Store E,Germany,2019
22,spinach,vegetables,0.7,kg,16326,713921.0,EUR,Store E,Germany,2019
23,soy bean,vegetables,0.8,kg,29971,737897.8,EUR,Store E,Germany,2019
24,cauliflower,vegetables,0.6,piece,24706,752721.4,EUR,Store E,Germany,2019
25,bell pepper,vegetables,0.7,kg,34789,777073.7,EUR,Store E,Germany,2019
26,chilli pepper,vegetables,0.5,kg,26717,790432.2,EUR,Store E,Germany,2019
27,turnip,vegetables,0.4,kg,42617,807479.0,EUR,Store E,Germany,2019
28,corn,vegetables,0.3,kg,23711,814592.3,EUR,Store E,Germany,2019
29,sweetcorn,vegetables,0.4,kg,71638,843247.5,EUR,Store E,Germany,2019
30,sweet potato,vegetables,0.5,kg,1810,844152.5,EUR,Store E,Germany,2019
31,paprika,vegetables,2.0,kg,2902,849956.5,EUR,Store E,Germany,2019
32,jalepeno,vegetables,2.0,kg,8258,866472.5,EUR,Store E,Germany,2019
33,ginger,vegetables,1.5,kg,75894,980313.5,EUR,Store E,Germany,2019
34,garlic,vegetables,1.5,kg,22963,1014758.0,EUR,Store E,Germany,2019
35,peas,vegetables,3.0,kg,78601,1250561.0,EUR,Store E,Germany,2019
36,eggplant,vegetables,1.5,kg,71567,1357911.5,EUR,Store E,Germany,2019
1,banana,fruits,0.5,kg,14281,7140.5,EUR,Store F,Germany,2019
2,apple,fruits,0.7,kg,67809,54606.8,EUR,Store F,Germany,2019
3,pear,fruits,0.6,kg,56437,88469.0,EUR,Store F,Germany,2019
4,grapes,fruits,1.2,kg,48261,146382.2,EUR,Store F,Germany,2019
5,orange,fruits,0.8,kg,59332,193847.8,EUR,Store F,Germany,2019
6,kiwi,fruits,0.9,piece,11700,204377.8,EUR,Store F,Germany,2019
7,watermelon,fruits,5.0,kg,26290,335827.8,EUR,Store F,Germany,2019
8,pomegranate,fruits,2.5,kg,17632,379907.8,EUR,Store F,Germany,2019
9,pineapple,fruits,1.5,piece,26106,419066.8,EUR,Store F,Germany,2019
10,mango,fruits,2.0,piece,13432,445930.8,EUR,Store F,Germany,2019
11,cucumber,vegetables,0.4,piece,17381,452883.2,EUR,Store F,Germany,2019
12,carrot,vegetables,0.3,kg,47334,467083.4,EUR,Store F,Germany,2019
13,capsicum,vegetables,0.5,kg,19506,476836.4,EUR,Store F,Germany,2019
14,onion,vegetables,0.2,kg,42781,485392.6,EUR,Store F,Germany,2019
15,potato,vegetables,0.3,kg,20190,491449.6,EUR,Store F,Germany,2019
16,lemon,vegetables,0.4,kg,40989,507845.2,EUR,Store F,Germany,2019
17,tomato,vegetables,0.6,kg,46937,536007.4,EUR,Store F,Germany,2019
18,raddish,vegetables,0.3,kg,9177,538760.5,EUR,Store F,Germany,2019
19,beetroot,vegetables,0.4,kg,6580,541392.5,EUR,Store F,Germany,2019
20,cabbage,vegetables,0.5,piece,1838,542311.5,EUR,Store F,Germany,2019
21,lettuce,vegetables,0.6,piece,10542,548636.7,EUR,Store F,Germany,2019
22,spinach,vegetables,0.7,kg,24243,565606.8,EUR,Store F,Germany,2019
23,soy bean,vegetables,0.8,kg,26369,586702.0,EUR,Store F,Germany,2019
24,cauliflower,vegetables,0.6,piece,9298,592280.8,EUR,Store F,Germany,2019
25,bell pepper,vegetables,0.7,kg,44851,623676.5,EUR,Store F,Germany,2019
26,chilli pepper,vegetables,0.5,kg,55490,651421.5,EUR,Store F,Germany,2019
27,turnip,vegetables,0.4,kg,57707,674504.3,EUR,Store F,Germany,2019
28,corn,vegetables,0.3,kg,19450,680339.3,EUR,Store F,Germany,2019
29,sweetcorn,vegetables,0.4,kg,67807,707462.1,EUR,Store F,Germany,2019
30,sweet potato,vegetables,0.5,kg,33599,724261.6,EUR,Store F,Germany,2019
31,paprika,vegetables,2.0,kg,14105,752471.6,EUR,Store F,Germany,2019
32,jalepeno,vegetables,2.0,kg,5094,762659.6,EUR,Store F,Germany,2019
33,ginger,vegetables,1.5,kg,64774,859820.6,EUR,Store F,Germany,2019
34,garlic,vegetables,1.5,kg,65878,958637.6,EUR,Store F,Germany,2019
35,peas,vegetables,3.0,kg,8734,984839.6,EUR,Store F,Germany,2019
36,eggplant,vegetables,1.5,kg,22333,1018339.1,EUR,Store F,Germany,2019
1,banana,fruits,0.5,kg,35755,17877.5,EUR,Store G,Germany,2019
2,apple,fruits,0.7,kg,38896,45104.7,EUR,Store G,Germany,2019
3,pear,fruits,0.6,kg,13696,53322.3,EUR,Store G,Germany,2019
4,grapes,fruits,1.2,kg,10662,66116.7,EUR,Store G,Germany,2019
5,orange,fruits,0.8,kg,11988,75707.1,EUR,Store G,Germany,2019
6,kiwi,fruits,0.9,piece,64009,133315.2,EUR,Store G,Germany,2019
7,watermelon,fruits,5.0,kg,24115,253890.2,EUR,Store G,Germany,2019
8,pomegranate,fruits,2.5,kg,64788,415860.2,EUR,Store G,Germany,2019
9,pineapple,fruits,1.5,piece,40072,475968.2,EUR,Store G,Germany,2019
10,mango,fruits,2.0,piece,27928,531824.2,EUR,Store G,Germany,2019
11,cucumber,vegetables,0.4,piece,26471,542412.6,EUR,Store G,Germany,2019
12,carrot,vegetables,0.3,kg,29580,551286.6,EUR,Store G,Germany,2019
13,capsicum,vegetables,0.5,kg,85026,593799.6,EUR,Store G,Germany,2019
14,onion,vegetables,0.2,kg,25364,598872.4,EUR,Store G,Germany,2019
15,potato,vegetables,0.3,kg,57590,616149.4,EUR,Store G,Germany,2019
16,lemon,vegetables,0.4,kg,3149,617409.0,EUR,Store G,Germany,2019
17,tomato,vegetables,0.6,kg,17393,627844.8,EUR,Store G,Germany,2019
18,raddish,vegetables,0.3,kg,2417,628569.9,EUR,Store G,Germany,2019
19,beetroot,vegetables,0.4,kg,41374,645119.5,EUR,Store G,Germany,2019
20,cabbage,vegetables,0.5,piece,4233,647236.0,EUR,Store G,Germany,2019
21,lettuce,vegetables,0.6,piece,48714,676464.4,EUR,Store G,Germany,2019
22,spinach,vegetables,0.7,kg,33906,700198.6,EUR,Store G,Germany,2019
23,soy bean,vegetables,0.8,kg,31767,725612.2,EUR,Store G,Germany,2019
24,cauliflower,vegetables,0.6,piece,33789,745885.6,EUR,Store G,Germany,2019
25,bell pepper,vegetables,0.7,kg,4872,749296.0,EUR,Store G,Germany,2019
26,chilli pepper,vegetables,0.5,kg,25434,762013.0,EUR,Store G,Germany,2019
27,turnip,vegetables,0.4,kg,58409,785376.6,EUR,Store G,Germany,2019
28,corn,vegetables,0.3,kg,34174,795628.8,EUR,Store G,Germany,2019
29,sweetcorn,vegetables,0.4,kg,17205,802510.8,EUR,Store G,Germany,2019
30,sweet potato,vegetables,0.5,kg,640,802830.8,EUR,Store G,Germany,2019
31,paprika,vegetables,2.0,kg,24505,851840.8,EUR,Store G,Germany,2019
32,jalepeno,vegetables,2.0,kg,7618,867076.8,EUR,Store G,Germany,2019
33,ginger,vegetables,1.5,kg,20112,897244.8,EUR,Store G,Germany,2019
34,garlic,vegetables,1.5,kg,40167,957495.3,EUR,Store G,Germany,2019
35,peas,vegetables,3.0,kg,21399,1021692.3,EUR,Store G,Germany,2019
36,eggplant,vegetables,1.5,kg,20025,1051729.8,EUR,Store G,Germany,2019
1,banana,fruits,0.5,kg,17206,8603.0,EUR,Store H,Germany,2019
2,apple,fruits,0.7,kg,8115,14283.5,EUR,Store H,Germany,2019
3,pear,fruits,0.6,kg,49542,44008.7,EUR,Store H,Germany,2019
4,grapes,fruits,1.2,kg,35160,86200.7,EUR,Store H,Germany,2019
5,orange,fruits,0.8,kg,24028,105423.1,EUR,Store H,Germany,2019
6,kiwi,fruits,0.9,piece,19808,123250.3,EUR,Store H,Germany,2019
7,watermelon,fruits,5.0,kg,55425,400375.3,EUR,Store H,Germany,2019
8,pomegranate,fruits,2.5,kg,57622,544430.3,EUR,Store H,Germany,2019
9,pineapple,fruits,1.5,piece,9131,558126.8,EUR,Store H,Germany,2019
10,mango,fruits,2.0,piece,18606,595338.8,EUR,Store H,Germany,2019
11,cucumber,vegetables,0.4,piece,5387,597493.6,EUR,Store H,Germany,2019
12,carrot,vegetables,0.3,kg,47859,611851.3,EUR,Store H,Germany,2019
13,capsicum,vegetables,0.5,kg,53234,638468.3,EUR,Store H,Germany,2019
14,onion,vegetables,0.2,kg,26781,643824.5,EUR,Store H,Germany,2019
15,potato,vegetables,0.3,kg,14744,648247.7,EUR,Store H,Germany,2019
16,lemon,vegetables,0.4,kg,21456,656830.1,EUR,Store H,Germany,2019
17,tomato,vegetables,0.6,kg,5945,660397.1,EUR,Store H,Germany,2019
18,raddish,vegetables,0.3,kg,14551,664762.4,EUR,Store H,Germany,2019
19,beetroot,vegetables,0.4,kg,58793,688279.6,EUR,Store H,Germany,2019
20,cabbage,vegetables,0.5,piece,10490,693524.6,EUR,Store H,Germany,2019
21,lettuce,vegetables,0.6,piece,24103,707986.4,EUR,Store H,Germany,2019
22,spinach,vegetables,0.7,kg,57128,747976.0,EUR,Store H,Germany,2019
23,soy bean,vegetables,0.8,kg,17982,762361.6,EUR,Store H,Germany,2019
24,cauliflower,vegetables,0.6,piece,11534,769282.0,EUR,Store H,Germany,2019
25,bell pepper,vegetables,0.7,kg,59056,810621.2,EUR,Store H,Germany,2019
26,chilli pepper,vegetables,0.5,kg,14964,818103.2,EUR,Store H,Germany,2019
27,turnip,vegetables,0.4,kg,63432,843476.0,EUR,Store H,Germany,2019
28,corn,vegetables,0.3,kg,14752,847901.6,EUR,Store H,Germany,2019
29,sweetcorn,vegetables,0.4,kg,17226,854792.0,EUR,Store H,Germany,2019
30,sweet potato,vegetables,0.5,kg,39813,874698.5,EUR,Store H,Germany,2019
31,paprika,vegetables,2.0,kg,2722,880142.5,EUR,Store H,Germany,2019
32,jalepeno,vegetables,2.0,kg,50371,980884.5,EUR,Store H,Germany,2019
33,ginger,vegetables,1.5,kg,30757,1027020.0,EUR,Store H,Germany,2019
34,garlic,vegetables,1.5,kg,33481,1077241.5,EUR,Store H,Germany,2019
35,peas,vegetables,3.0,kg,4037,1089352.5,EUR,Store H,Germany,2019
36,eggplant,vegetables,1.5,kg,18985,1117830.0,EUR,Store H,Germany,2019
1,banana,fruits,0.5,kg,12086,6043.0,EUR,Store I,Germany,2019
2,apple,fruits,0.7,kg,30371,27302.7,EUR,Store I,Germany,2019
3,pear,fruits,0.6,kg,56974,61487.1,EUR,Store I,Germany,2019
4,grapes,fruits,1.2,kg,12108,76016.7,EUR,Store I,Germany,2019
5,orange,fruits,0.8,kg,7126,81717.5,EUR,Store I,Germany,2019
6,kiwi,fruits,0.9,piece,3364,84745.1,EUR,Store I,Germany,2019
7,watermelon,fruits,5.0,kg,15719,163340.1,EUR,Store I,Germany,2019
8,pomegranate,fruits,2.5,kg,59063,310997.6,EUR,Store I,Germany,2019
9,pineapple,fruits,1.5,piece,57131,396694.1,EUR,Store I,Germany,2019
10,mango,fruits,2.0,piece,42396,481486.1,EUR,Store I,Germany,2019
11,cucumber,vegetables,0.4,piece,25273,491595.3,EUR,Store I,Germany,2019
12,carrot,vegetables,0.3,kg,19973,497587.2,EUR,Store I,Germany,2019
13,capsicum,vegetables,0.5,kg,6819,500996.7,EUR,Store I,Germany,2019
14,onion,vegetables,0.2,kg,26993,506395.3,EUR,Store I,Germany,2019
15,potato,vegetables,0.3,kg,20724,512612.5,EUR,Store I,Germany,2019
16,lemon,vegetables,0.4,kg,21477,521203.3,EUR,Store I,Germany,2019
17,tomato,vegetables,0.6,kg,81424,570057.7,EUR,Store I,Germany,2019
18,raddish,vegetables,0.3,kg,24556,577424.5,EUR,Store I,Germany,2019
19,beetroot,vegetables,0.4,kg,9787,581339.3,EUR,Store I,Germany,2019
20,cabbage,vegetables,0.5,piece,6809,584743.8,EUR,Store I,Germany,2019
21,lettuce,vegetables,0.6,piece,28487,601836.0,EUR,Store I,Germany,2019
22,spinach,vegetables,0.7,kg,6847,606628.9,EUR,Store I,Germany,2019
23,soy bean,vegetables,0.8,kg,10949,615388.1,EUR,Store I,Germany,2019
24,cauliflower,vegetables,0.6,piece,4488,618080.9,EUR,Store I,Germany,2019
25,bell pepper,vegetables,0.7,kg,75572,670981.3,EUR,Store I,Germany,2019
26,chilli pepper,vegetables,0.5,kg,38551,690256.8,EUR,Store I,Germany,2019
27,turnip,vegetables,0.4,kg,22533,699270.0,EUR,Store I,Germany,2019
28,corn,vegetables,0.3,kg,16556,704236.8,EUR,Store I,Germany,2019
29,sweetcorn,vegetables,0.4,kg,24002,713837.6,EUR,Store I,Germany,2019
30,sweet potato,vegetables,0.5,kg,18784,723229.6,EUR,Store I,Germany,2019
31,paprika,vegetables,2.0,kg,16888,757005.6,EUR,Store I,Germany,2019
32,jalepeno,vegetables,2.0,kg,75212,907429.6,EUR,Store I,Germany,2019
33,ginger,vegetables,1.5,kg,27869,949233.1,EUR,Store I,Germany,2019
34,garlic,vegetables,1.5,kg,9967,964183.6,EUR,Store I,Germany,2019
35,peas,vegetables,3.0,kg,648,966127.6,EUR,Store I,Germany,2019
36,eggplant,vegetables,1.5,kg,16203,990432.1,EUR,Store I,Germany,2019
1,banana,fruits,0.5,kg,25275,12637.5,EUR,Store J,Germany,2019
2,apple,fruits,0.7,kg,18545,25619.0,EUR,Store J,Germany,2019
3,pear,fruits,0.6,kg,14207,34143.2,EUR,Store J,Germany,2019
4,grapes,fruits,1.2,kg,4877,39995.6,EUR,Store J,Germany,2019
5,orange,fruits,0.8,kg,2018,41610.0,EUR,Store J,Germany,2019
6,kiwi,fruits,0.9,piece,9489,50150.1,EUR,Store J,Germany,2019
7,watermelon,fruits,5.0,kg,275,51525.1,EUR,Store J,Germany,2019
8,pomegranate,fruits,2.5,kg,21425,105087.6,EUR,Store J,Germany,2019
9,pineapple,fruits,1.5,piece,27791,146774.1,EUR,Store J,Germany,2019
10,mango,fruits,2.0,piece,6818,160410.1,EUR,Store J,Germany,2019
11,cucumber,vegetables,0.4,piece,27177,171280.9,EUR,Store J,Germany,2019
12,carrot,vegetables,0.3,kg,31753,180806.8,EUR,Store J,Germany,2019
